transaction_number,stock_name,order_type,quantity,timestamp
0,GameStart,sell,1,1746655974.5505002
0,GameStart,sell,1,1746655974.5584378
0,GameStart,sell,1,1746655974.56428
0,GameStart,sell,1,1746655974.571172
0,GameStart,sell,1,1746655974.576666
0,RottenFishCo,sell,1,1746656102.940831
0,RottenFishCo,sell,1,1746656102.947896
0,RottenFishCo,sell,1,1746656102.953044
0,RottenFishCo,sell,1,1746656102.9583402
0,RottenFishCo,sell,1,1746656102.9631722
1,BoarCo,sell,1,1746656728.709524
1,BoarCo,sell,1,1746656729.2214358
1,BoarCo,sell,1,1746656729.734905
1,BoarCo,sell,1,1746656730.255744
1,BoarCo,sell,1,1746656730.775798
2,MenhirCo,sell,1,1746657755.1028202
2,MenhirCo,sell,1,1746657755.6181471
2,MenhirCo,sell,1,1746657756.131438
2,MenhirCo,sell,1,1746657756.651189
2,MenhirCo,sell,1,1746657757.170464
3,GameStart,sell,1,1746658109.634512
3,GameStart,sell,1,1746658110.149475
3,GameStart,sell,1,1746658110.6613371
3,GameStart,sell,1,1746658111.182645
3,GameStart,sell,1,1746658111.6985118
